ID,Host Type,Repository Name with Owner,Repository ID,Manifest Platform,Manifest Filepath,Git branch,Manifest kind,Optional,Dependency Project Name,Dependency Requirements,Dependency Kind,Dependency Project ID
147940258,GitHub,bjrmatos/electron-html-to,2792319,npm,package.json,,manifest,,electron,1.6.6,development,143927
194749342,GitHub,jprichardson/electron-mocha,2797972,npm,package-lock.json,,lockfile,,electron,1.8.0,runtime,143927
194749827,GitHub,jprichardson/electron-mocha,2797972,npm,package.json,,manifest,,electron,^1.8.0,development,143927
185492123,GitHub,juliangruber/electron-stream,2802353,npm,package.json,,manifest,,electron,^1.4.4,runtime,143927
215598589,GitHub,rhysd/Shiba,2804239,npm,package.json,,manifest,,electron,^1.7.9,runtime,143927
102105489,GitHub,hrysd/idobata-electron,2805504,npm,package.json,,manifest,,electron,1.4.14,development,143927
95226792,GitHub,superbrothers/electron-boilerplate,2808756,NPM,package.json,,manifest,,electron,^1.4.7,development,143927
76358288,GitHub,MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,2812598,NPM,package.json,,manifest,,electron,1.4.3,runtime,143927
76358414,GitHub,maidsafe/safe_launcher,2815480,NPM,package.json,,manifest,,electron,1.4.0,development,143927
149964597,GitHub,jwir3/arbitrator,2836407,npm,package.json,,manifest,,electron,^1.4.5,development,143927
94812663,GitHub,zalmoxisus/redux-devtools-extension,2843534,NPM,package.json,,manifest,,electron,^1.4.4,development,143927
122227750,GitHub,zalmoxisus/redux-devtools-extension,2843534,npm,yarn.lock,,lockfile,,electron,,runtime,143927
122104719,GitHub,zalmoxisus/redux-devtools-extension,2843534,npm,package.json,,manifest,,electron,^1.6.6,development,143927
143826819,GitHub,ssbc/patchwork,2849230,npm,package.json,,manifest,,electron,~1.4.4,development,143927
122066454,GitHub,csabapalfi/TrayPingApp,2857710,npm,package.json,,manifest,,electron,^1.4.13,development,143927
122089369,GitHub,csabapalfi/TrayPingApp,2857710,npm,yarn.lock,,lockfile,,electron,,runtime,143927
112373565,GitHub,mawie81/whatsdesktop,2861849,npm,package.json,,manifest,,electron,^1.4.7,development,143927
122214824,GitHub,huridocs/uwazi,2863911,npm,yarn.lock,,lockfile,,electron,,runtime,143927
135184052,GitHub,nathanbuchar/electron-settings,2865729,npm,package-lock.json,,lockfile,,electron,1.7.2,runtime,143927
135184309,GitHub,nathanbuchar/electron-settings,2865729,npm,package.json,,manifest,,electron,^1.7.2,development,143927
139315642,GitHub,nathanbuchar/electron-settings,2865729,npm,package-lock.json,,lockfile,,electron,1.7.2,runtime,143927
199747697,GitHub,nathanbuchar/electron-settings,2865729,npm,package-lock.json,,lockfile,,electron,1.7.8,runtime,143927
76364957,GitHub,ethereum/mist,2870891,NPM,package.json,,manifest,,electron,=1.3.5,development,143927
13459144,GitHub,connorsmallman/home-ui,2881575,npm,package.json,,,,electron,^0.4.1,runtime,143927
145294595,GitHub,parro-it/electron-localshortcut,2889421,npm,package-lock.json,,lockfile,,electron,1.6.11,runtime,143927
145295423,GitHub,parro-it/electron-localshortcut,2889421,npm,package.json,,manifest,,electron,^1.6.7,development,143927
122191656,GitHub,cgenin/blitzr-app-desktop,2895886,npm,yarn.lock,,lockfile,,electron,,runtime,143927
107035045,GitHub,cgenin/blitzr-app-desktop,2895886,npm,package.json,,manifest,,electron,^1.4.4,development,143927
76365154,GitHub,k0kubun/Nocturn,2905532,NPM,package.json,,manifest,,electron,1.3.6,development,143927
211624193,GitHub,appelgriebsch/electron-boilerplate,2922675,npm,package.json,,manifest,,electron,^1.4.15,development,143927
